[2023-10-21 17:39:14,888: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:39:14,889: INFO: common: created directory at artifacts]
[2023-10-21 17:39:14,891: INFO: common: created directory at artifacts/data_transformation]
[2023-10-21 17:39:14,979: INFO: data_transformation: Splited data into training and test sets]
[2023-10-21 17:39:14,980: INFO: data_transformation: (614, 20)]
[2023-10-21 17:39:14,981: INFO: data_transformation: (268, 20)]
[2023-10-21 17:39:14,982: INFO: main: >>>>><< stage Data Transformation stage completed]
[2023-10-21 17:39:14,983: INFO: main: >>>>>> stage Model Trainer Stage started <<<<<<]
[2023-10-21 17:39:14,988: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:39:14,990: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 17:39:14,993: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:39:14,995: INFO: common: created directory at artifacts]
[2023-10-21 17:39:14,996: INFO: common: created directory at artifacts/model_trainer]
[2023-10-21 17:39:15,089: INFO: main: >>>>>> stage Model Trainer Stage completed <<<<<<

x==========x]
[2023-10-21 18:49:06,688: INFO: main: >>>>>>>>>>>< stage Data ingestion stage stared <<<<<<<<<]
[2023-10-21 18:49:06,692: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:49:06,694: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:49:06,695: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:49:06,696: INFO: common: created directory at artifacts]
[2023-10-21 18:49:06,697: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-21 18:49:06,704: INFO: data_ingestion: File copied from data\nba_logreg.csv to artifacts/data_ingestion/data.csv]
[2023-10-21 18:49:06,705: INFO: main: >>>>>>>>>end of Data ingestion stage<<<<<<<<<<<<]
[2023-10-21 18:49:06,705: INFO: main: >>>>>>>>>>>< stage Data Validation stage stared <<<<<<<<<]
[2023-10-21 18:49:06,708: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:49:06,709: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:49:06,711: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:49:06,712: INFO: common: created directory at artifacts]
[2023-10-21 18:49:06,712: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 18:49:06,730: INFO: main: >>>>>>>>>end of Data Validation stage<<<<<<<<<<<<]
[2023-10-21 18:49:06,731: INFO: main: >>>>>>>>> stage Data Transformation stage started<<<<<<<<<<<]
[2023-10-21 18:49:06,740: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:49:06,741: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:49:06,743: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:49:06,744: INFO: common: created directory at artifacts]
[2023-10-21 18:49:06,744: INFO: common: created directory at artifacts/data_transformation]
[2023-10-21 18:49:06,861: INFO: data_transformation: Splited data into training and test sets]
[2023-10-21 18:49:06,864: INFO: data_transformation: (614, 20)]
[2023-10-21 18:49:06,864: INFO: data_transformation: (268, 20)]
[2023-10-21 18:49:06,866: INFO: main: >>>>><< stage Data Transformation stage completed]
[2023-10-21 18:49:06,866: INFO: main: >>>>>> stage Model Trainer Stage started <<<<<<]
[2023-10-21 18:49:06,871: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:49:06,873: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:49:06,874: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:49:06,875: INFO: common: created directory at artifacts]
[2023-10-21 18:49:06,876: INFO: common: created directory at artifacts/model_trainer]
[2023-10-21 18:49:06,918: INFO: main: >>>>>> stage Model Trainer Stage completed <<<<<<

x==========x]
[2023-10-21 18:50:59,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:50:59,742: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:50:59,747: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:50:59,749: INFO: common: created directory at artifacts]
[2023-10-21 18:50:59,750: INFO: common: created directory at artifacts/model_evaluation]
[2023-10-21 18:51:14,445: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:51:14,447: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:51:14,449: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:51:14,451: INFO: common: created directory at artifacts]
[2023-10-21 18:51:14,452: INFO: common: created directory at artifacts/model_evaluation]
[2023-10-21 18:52:18,750: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:52:18,752: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:52:18,755: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:52:18,757: INFO: common: created directory at artifacts]
[2023-10-21 18:52:18,758: INFO: common: created directory at artifacts/model_evaluation]
[2023-10-21 18:53:45,789: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:53:45,791: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:53:45,793: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:53:45,795: INFO: common: created directory at artifacts]
[2023-10-21 18:53:45,796: INFO: common: created directory at artifacts/model_evaluation]
[2023-10-21 18:54:01,507: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 18:54:01,509: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 18:54:01,512: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 18:54:01,513: INFO: common: created directory at artifacts]
[2023-10-21 18:54:01,514: INFO: common: created directory at artifacts/model_evaluation]
